#idx,nombre,dir,lat,lng,precio_rango,pts_comida,pts_servicio,pts_ambiente,cnt_reviews,cocina,img
252,Polite,Honduras 5564,-34.58432423845,-58.435945360823,,,,,,De Autor,photo_2814_1.jpg-fdd14add-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
253,Porota,Gorriti 5881,-34.582728,-58.440187,,,,,,Casera,photo_6241_1.jpg-fdd43198-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
254,Coco café,Demaría 4615,-34.5743733,-58.4219063,75,,,,,Casera,Restaurante.jpg
255,Birmania,José Antonio Cabrera 5115,-34.5892489,-58.4332041,50,,,,,"Casera, Pizza",photo_11382_1.jpg-fdd6058d-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
256,Buda Bar,Costa Rica 4659,-34.588299,-58.426793,25,,,,,"Pizza, Porteña",Restaurante.jpg
257,Victoria Brown Coffee & Bar,Costa Rica 4827,-34.5872278,-58.4284127,100,,,,,"De Autor, Mediterránea, Variada",Victoria-Brown-Coffee---Bar-14716-b071f8ed-b825-4c20-9404-3db4caaff894
258,Congo bar,Honduras 5329,-34.586603,-58.433166,100,,,,,"Mediterránea, Pizza",photo_8268_3.jpg-fdd51bd8-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
259,Crónico,Jorge L. Borges 1646,-34.588423,-58.42972,75,,,,,Pizza,photo_1637_1.jpg-fdcf75d2-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
260,Rietti,Jorge Luis Borges 2205,-34.5846022,-58.4241727,75,,,,,"Mediterránea, Internacional",photo_12028_1.jpg-fdd62da9-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
261,Bella Italia café & bar,Republica Arabe Siria 3330,-34.577611,-58.41149,75,,,,,Italiana,photo_8862_1.jpg-fdd5428a-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
262,Nola,Gorriti 4389,-34.5935595,-58.4250841,75,,,,,Internacional,photo_15114_1.jpg-fdd8020c-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
263,Lucio,Güemes 4001,-34.586086,-58.4174258,50,,,,,Pizza,Restaurante.jpg
264,Dashi,Av. Figueroa Alcorta 3399,-34.5776163,-58.4034181,75,,,,,"Japonesa Sushi, Peruana",photo_13966_1.jpg-fdd6a29d-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
265,La Pastronería,El Salvador 6026,-34.5798414,-58.4396796,75,,,,,Deli,Restaurante.jpg
266,Basta Pablo!,Honduras 5615,-34.5840419,-58.4364402,75,,,,,"Casera, Variada",Basta-Pablo-12702-956f1c44-c7ca-44e9-97a6-94d2ae57739b
267,Almacén de pizzas,Fitz Roy 1994,-34.58176,-58.433577,100,,,,,Pizza,photo_10078_1.jpg-fdd59055-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
268,Il Migliore,Charcas 2802,-34.594203,-58.406142,100,,,,,Pizza,photo_6787_1.jpg-fdd47f0c-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
269,Negroni,El Salvador 5602,-34.5833547,-58.4354165,75,,,,,"Internacional, Mediterránea, Italiana",photo_12812_1.jpg-fdd67a91-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
270,Querido Gonzalez,Honduras 4999,-34.5888557,-58.4299316,100,,,,,Pizza,Restaurante.jpg
271,Belushi,Honduras 5333,-34.586573,-58.433204,75,,,,,Porteña,Restaurante.jpg
272,Connieleone,Charcas 3667,-34.588402889219,-58.416622678792,,,,,,Parrilla,photo_981_1.jpg-fdce8c03-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
273,Bar abierto,Jorge Luis Borges 1613,-34.588404,-58.429756,,,,,,"Mediterránea, Española",photo_778_1.jpg-fdce64f3-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
274,Indiana,Armenia 1784,-34.5888047,-58.426404,100,,,,,Norteamericana,photo_14490_1.jpg-fdd716fd-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
275,Accademia de la pizza,Güemes 3299,-34.5903248,-58.4111521,75,,,,,Pizza,Restaurante.jpg
276,Don Jacinto,Gorriti 5299,-34.5875265,-58.433928,75,,,,,Parrilla,photo_11962_1.jpg-fdd62d81-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
277,Santos Sabores,Armenia 1880,-34.588256,-58.425503,,,,,,Deli,Restaurante.jpg
278,Ralph´s,Gurruchaga 1830,-34.5878394,-58.4269234,100,,,,,De Autor,Ralphs-14892-ed74b86f-fddb-0f81-3f32-55e738ed8d24
279,UCO (Fierro Hotel),Soler 5862,-34.5787787,-58.4352438,50,,,,,De Autor,UCO--Fierro-Hotel--15572-bec1b3cb-a76f-4743-a493-bc949c33323c
280,Eretz,Malabia 1583,-34.5909162,-58.4272282,100,0,17,21,29,"Arabe, Variada, Mediterránea",eretz-ccoa5-f40ead8c-7a05-8d55-6563-55c4aaf44cd2
281,Voltaire coffee & deli,Angel Justiniano Carranza 1946,-34.581051,-58.436621,75,,,,,"Deli, Casera",photo_9826_1.jpg-fdd569c9-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
282,Kokoro Sushi Palermo,Av. Coronel Díaz 1651,-34.5920736,-58.4126434,75,,,,,"Japonesa Sushi, Internacional",Kokoro-Sushi-15328-ac67c5a1-0423-a053-8eaf-571e7d256df3
283,Plaza del Carmen,Av. Raul Scalabrini Ortiz 2494,-34.585192,-58.416141,,,,,,Porteña,photo_1797_1.jpg-fdcf9daa-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
284,Chez Juanito,José Antonio Cabrera 5083,-34.58951,-58.432944,100,,,,,"Pizza, Porteña",Chez-Juanito-3985-31799fa4-4cd2-6e5f-0a2b-55dc7b030948
285,CBC,Godoy Cruz 1781,-34.586977,-58.433093,,,,,,Mexicana,photo_6794_1.jpg-fdd47f22-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
286,La Fachada,Aráoz 1283,-34.593666,-58.427378,,,,,,Pizza,photo_6880_1.jpg-fdd4a6a6-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
287,Palermo urbano,Honduras 5499,-34.585991,-58.43401,,,,,,"Italiana, De Autor",Restaurante.jpg
288,Nuevo Amenábar,Dorrego Av. 2200,-34.577605,-58.438782,,,,,,De Autor,photo_9924_1.jpg-fdd569f1-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
289,Lo de bebe,Charcas 3826,-34.5874001,-58.4181672,,,,,,Parrilla,photo_1928_1.jpg-fdcfc472-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
290,Cervelar,Elcano Av. 3385,-34.5748951,-58.4598519,75,,,,,Variada,Restaurante.jpg
291,Velvet,Jerónimo Salguero 1807,-34.589104,-58.415634,50,,,,,Casera,photo_7644_1.jpg-fdd4f486-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
292,Epa la Arepa,Soler 5837,-34.5789555,-58.4349741,75,,,,,Colombiana,8164ca2fe04767628ac1c6813e8a0867_Epa-la-Arepa-13684.png
293,Peugeot Lounge,Honduras 5624,-34.5839911,-58.4365373,75,,,,,De Autor,Peugeot-Lounge-14584-71bea9cb-da5f-4d4b-8ac6-1f0dceda2510
294,Dain usina cultural,Nicaragua 4899,-34.585975,-58.427971,75,,,,,"Parrilla, Casera",photo_10180_1.jpg-fdd59099-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
295,Dubliners irish pub,Humboldt 2000,-34.582314691217,-58.432528331631,50,,,,,Porteña,photo_877_1.jpg-fdce8b67-f4e4-11e4-be7b-d3500e263ce1_s0.jpg
